,id,neighbourhood,property_type,room_type,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,category,TV,Internet,Air_conditioning,Kitchen,Heating,Wifi,Elevator,Breakfast
10462,14783267,Brooklyn,Entire rental unit,Entire home/apt,40.66798,-73.98165,2,1.0,1.0,1.0,170,1,1,0,1,1,1,1,0,0
10463,14784377,Manhattan,Private room in rental unit,Private room,40.8116,-73.95377,1,1.0,1.0,1.0,49,0,1,0,1,1,1,1,0,0
10464,14787179,Brooklyn,Private room in residential home,Private room,40.71133,-73.94248,2,1.0,1.0,1.0,99,1,1,0,1,0,1,1,0,0
10466,14789008,Brooklyn,Entire rental unit,Entire home/apt,40.5812,-73.95477,3,1.0,1.0,2.0,300,2,1,0,1,1,1,1,1,0
10467,14801700,Manhattan,Private room in rental unit,Private room,40.8556,-73.93637,1,1.0,1.0,1.0,99,1,0,0,1,1,1,1,1,0
10468,14804661,Staten Island,Entire rental unit,Entire home/apt,40.63145,-74.11532,2,1.0,1.0,4.0,150,1,1,0,1,1,1,1,0,0
10469,14807279,Brooklyn,Entire rental unit,Entire home/apt,40.68767,-73.95832,4,1.0,2.0,3.0,159,1,1,0,0,1,0,1,0,1
10470,14807716,Brooklyn,Entire rental unit,Entire home/apt,40.72127,-73.94271,4,1.0,2.0,3.0,109,1,1,0,1,1,1,1,1,0
10471,14807890,Manhattan,Private room in rental unit,Private room,40.79998,-73.9655,3,1.0,1.0,2.0,99,1,1,0,1,1,1,1,0,0
10473,14809302,Brooklyn,Private room in residential home,Private room,40.65826,-73.96046,2,1.5,1.0,1.0,60,0,0,0,1,1,1,1,0,0
10476,14817571,Queens,Private room in rental unit,Private room,40.77427,-73.91599,2,1.0,1.0,1.0,200,2,0,0,1,1,1,1,0,0
10477,14822309,Manhattan,Private room in rental unit,Private room,40.83194,-73.94866,1,1.5,1.0,1.0,65,0,1,0,0,1,1,1,1,0
10479,14823077,Manhattan,Private room in rental unit,Private room,40.78954,-73.95011,2,1.0,1.0,1.0,100,1,0,0,1,1,1,1,0,1
10481,14824160,Manhattan,Entire loft,Entire home/apt,40.71891,-73.9939,2,1.0,1.0,2.0,152,1,0,0,1,1,1,1,0,0
10482,14824230,Manhattan,Private room in condominium (condo),Private room,40.80559,-73.95632,2,1.0,1.0,1.0,75,0,0,0,1,0,1,1,0,0
10483,14826817,Brooklyn,Private room in residential home,Private room,40.6392,-73.96256,3,1.0,1.0,1.0,69,0,1,0,1,1,1,1,0,0
10485,14827265,Manhattan,Private room in rental unit,Private room,40.7217,-73.99969,1,1.0,1.0,1.0,120,1,0,0,0,0,0,1,0,0
10486,14827418,Manhattan,Private room in rental unit,Private room,40.72307,-73.99993,1,1.0,1.0,1.0,120,1,0,0,0,0,0,1,0,0
10488,14832329,Brooklyn,Private room in rental unit,Private room,40.68274,-73.96332,4,1.0,1.0,2.0,72,0,1,0,1,1,1,1,0,0
10489,14835670,Brooklyn,Entire rental unit,Entire home/apt,40.68873,-73.94394,5,1.0,2.0,2.0,95,1,0,0,0,1,1,0,0,0
10490,14837884,Manhattan,Private room in rental unit,Private room,40.71995,-73.99933,1,1.0,1.0,1.0,46,0,0,0,0,1,0,1,0,0
10492,14838808,Manhattan,Private room in townhouse,Private room,40.72412,-74.00305,2,2.0,2.0,1.0,399,2,0,0,1,0,1,1,0,0
10493,14839830,Queens,Entire residential home,Entire home/apt,40.72488,-73.80389,4,1.0,1.0,2.0,129,1,1,0,1,1,1,1,0,0
